Date,Strategy,Benchmark
2016-05-31,99.7808360775034,99.47499038130978
2016-06-01,98.62606914690458,98.8075734801634
2016-06-02,98.98813719304968,98.60025823043482
2016-06-03,97.74642861970285,97.62396521597019
2016-06-06,97.42432784774803,97.65929213986186
2016-06-07,97.89082391549373,98.81794409376846
2016-06-08,96.90779573947306,98.21897108636274
2016-06-09,95.91320668926838,97.2669660058401
2016-06-10,93.1495921189595,95.08368233538457
2016-06-13,90.62686615608114,93.32406302530202
2016-06-14,88.68234066759696,91.18934444246686
2016-06-15,89.6734416359811,92.10006111331447
2016-06-16,88.48300991094327,91.69006612721508
2016-06-17,90.86807393840611,92.5912961660747
2016-06-20,93.63657911631593,95.83520685331541
2016-06-21,94.6434869400717,96.41984211010292
2016-06-22,95.18757154442125,96.70220955517289
2016-06-23,98.21130993037127,98.59804827639215
2016-06-24,87.47193801559978,90.6683019607898
2016-06-27,82.88206735741792,88.98088346632046
2016-06-28,85.24551989062523,90.27355026745295
2016-06-29,88.02681099714657,92.62418675038762
2016-06-30,88.02681099714657,93.554997832628
2016-07-01,88.02681099714657,94.36040210814524
2016-07-04,88.02681099714657,93.49715093802847
2016-07-05,88.02681099714657,91.91990134765153
2016-07-06,88.02681099714657,90.19517236078394
2016-07-07,88.02681099714657,90.9138116845337
2016-07-08,88.02681099714657,92.52175268544451
2016-07-11,88.02681099714657,94.15220287679958
2016-07-12,88.02681099714657,95.62811798912291
2016-07-13,88.02681099714657,95.71377796386906
2016-07-14,88.02681099714657,96.82342283934678
2016-07-15,88.02681099714657,96.53618271511932
2016-07-18,88.02681099714657,96.21010130105921
2016-07-19,88.02681099714657,95.60052051424873
2016-07-20,88.02681099714657,96.6962480693895
2016-07-21,88.02681099714657,96.61875953446936
2016-07-22,88.02681099714657,96.72583989303386
2016-07-25,88.02681099714657,96.87817579828655
2016-07-26,88.02681099714657,97.02764415341561
2016-07-27,88.02681099714657,98.17989263073032
2016-07-28,88.02681099714657,97.5974781082491
2016-07-29,90.91059044565894,98.02203723050279
2016-08-01,91.12896007569174,97.34556490791331
2016-08-02,88.46898487368162,95.55328139905393
2016-08-03,88.62253356990325,95.40071910826515
2016-08-04,90.15249895853788,95.9427292026884
2016-08-05,91.8654001561776,97.37602993291111
2016-08-08,91.91072214327367,97.48443626390122
2016-08-09,92.39415843220652,98.64595576793147
2016-08-10,91.50043441663318,98.2913821171165
2016-08-11,92.17922238206191,99.43812187972001
2016-08-12,92.18346910896375,99.35510306956142
